language,script,country,hyperlink
Aari,,Ethiopia,https://mylanguage.net.au/watch_online/aiz00/JESUS/1_4797-jf6112-0-0
Abau,,Papua New Guinea,https://mylanguage.net.au/watch_online/Aba99/JESUS/1_12296-jf6112-0-0
"Achi, Rabinal",,Guatemala,https://mylanguage.net.au/watch_online/acr00/JESUS/1_5441-jf6112-0-0
Acholi,,Uganda,https://mylanguage.net.au/watch_online/aco00/JESUS/1_13555-jf6112-0-0
Adangme,,Ghana,https://mylanguage.net.au/watch_online/Ada99/JESUS/1_50836-jf6112-0-0
Adele,,Togo,https://mylanguage.net.au/watch_online/Ade99/JESUS/
Adi,,India,https://mylanguage.net.au/watch_online/adi00/JESUS/1_24173-jf6112-0-0
Adygey,,Russia,https://mylanguage.net.au/watch_online/ady00/JESUS/1_20522-jf6112-0-0
Afar,,Ethiopia,https://mylanguage.net.au/watch_online/afr00/JESUS/1_4468-jf6112-0-0
Afrikaans,,South Africa,https://mylanguage.net.au/watch_online/afk00/JESUS/1_1444-jf6112-0-0
A-Hmao,,China,https://mylanguage.net.au/watch_online/hmd00/JESUS/1_22812-jf6112-0-0
Aja-Gbe,,Benin,https://mylanguage.net.au/watch_online/ajg00/JESUS/1_1280-jf6112-0-0
Akha,,Myanmar,https://mylanguage.net.au/watch_online/aka00/JESUS/1_3712-jf6112-0-0
Aklanon,,Philippines,https://mylanguage.net.au/watch_online/akl00/JESUS/1_12853-jf6112-0-0
Akposo,,Togo,https://mylanguage.net.au/watch_online/kpo00/JESUS/1_5296-jf6112-0-0
Alaba,,Ethiopia,https://mylanguage.net.au/watch_online/alb00/JESUS/1_4793-jf6112-0-0
Albanian,,Albania,https://mylanguage.net.au/watch_online/aln00/JESUS/1_20526-jf6112-0-0
"Albanian, Kosovar",,Kosovo,https://mylanguage.net.au/watch_online/aln00/JESUS/1_20528-jf6112-0-0
"Albanian, Kosovar",,Serbia,https://mylanguage.net.au/watch_online/aln00/JESUS/1_20528-jf6112-0-0
Altai,,Russia,https://mylanguage.net.au/watch_online/Alt99/JESUS/1_21554-jf6112-0-0
Alur,,DRCongo,https://mylanguage.net.au/watch_online/alz00/JESUS/1_14694-jf6112-0-0
Amanab,,Papua New Guinea,https://mylanguage.net.au/watch_online/Ama99/JESUS/1_10685-jf6112-0-0
"Amdo, Tibetan",,China,https://mylanguage.net.au/watch_online/Amd99/JESUS/
American Sign Language,,United States,https://mylanguage.net.au/watch_online/eng00/JESUS/1_19171-jf-0-0
Amharic,,Ethiopia,https://mylanguage.net.au/watch_online/amh00/JESUS/1_4791-jf6112-0-0
"Amuzgo, Guerrero",,Mexico,https://mylanguage.net.au/watch_online/amu00/JESUS/1_8351-jf6112-0-0
"Amuzgo, Oaxaca",,Mexico,https://mylanguage.net.au/watch_online/amu00/JESUS/1_8338-jf6112-0-0
Anaang,,Nigeria,https://mylanguage.net.au/watch_online/anw00/JESUS/1_9317-jf6112-0-0
Anjam,,Papua New Guinea,https://mylanguage.net.au/watch_online/Anj99/JESUS/1_10810-jf6112-0-0
Antandroy,,Madagascar,https://mylanguage.net.au/watch_online/tdx00/JESUS/1_23192-jf6112-0-0
Anuak,,South Sudan,https://mylanguage.net.au/watch_online/anu00/JESUS/1_4790-jf6112-0-0
Anufo,,Togo,https://mylanguage.net.au/watch_online/Anu99/JESUS/1_1345-jf6112-0-0
Anyin,,Cote d'Ivoire,https://mylanguage.net.au/watch_online/any00/JESUS/1_5333-jf6112-0-0
Apinaye,,Brazil,https://mylanguage.net.au/watch_online/apn00/JESUS/1_1890-jf6112-0-0
Apurina,,Brazil,https://mylanguage.net.au/watch_online/Apu99/JESUS/1_1889-jf6112-0-0
Arabic Gulf,عربي خليجي,Kuwait,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/arabic-gulf.html
"Arabic, Algerian Spoken",عربي جزائري,Algeria,https://mylanguage.net.au/watch_online/arq00/JESUS/1_525-jf6112-0-0
"Arabic, Chadian Spoken",عربي تشاد,Chad,https://mylanguage.net.au/watch_online/arq00/JESUS/1_20531-jf6112-0-0
"Arabic, Egyptian Colloquial",عربي مصري,Egypt,https://mylanguage.net.au/watch_online/arq00/JESUS/1_20533-jf6112-0-0
"Arabic, Hassaniya",عربي حساني,Mauritania,https://mylanguage.net.au/watch_online/arq00/JESUS/1_7839-jf6112-0-0
"Arabic, Iraqi Baghdadi",عربي عراقي بغدادي,Iraq,https://mylanguage.net.au/watch_online/arq00/JESUS/1_21061-jf6112-0-0
"Arabic, Libyan",عربي ليبي,Lybia,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/arabic-libyan.html
"Arabic, Modern Standard",عربية فصحى,_TOP,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Algeria,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Bahrain,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Chad,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Comoros,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Djibouti,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Egypt,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Iraq,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Jordan,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Kuwait,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Lebanon,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Libya,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Mauritania,https://nextstep.is/CGpd6DnW
"Arabic, Modern Standard",عربية فصحى,Morocco,https://nextstep.is/CGpd6DnW
