language,script,videoEmbedSource,videoEmbedCode,videoCaption,bibleLink,bibleText,fullFilmLink,fullFilmText,questionsLink,questionsText,optionalLink,optionalText,country,readingLanguage
"Armenian, Western","Հայկական, արեւմտյան",https://arc.gt/05hf0,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_20550-jf6112-0-0&parentSessionId=629bab9ae225d7.71327267&apiSessionId=629bab9d4ca5c4.49862735&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Դիտեք այս 3-րոպեանոց տեսահոլովակը <<Հիսուս>> ֆիլմից։,https://www.bible.com/bible/194/luk.6.27-49.WA2017,Կարդացեք այս պատմությունը Աստվածաշնչում։,https://www.jesusfilm.org/watch/jesus.html/armenian-western.html,Դիտեք «ՀԻՍՈՒՍ» ֆիլմն ամբողջությամբ։,https://www.1patasxan.com/,Գտի՛ր կյանքի հիմնական հարցերի պատասխանը:,,,Armenia,Armenian
"Balochi, Western",,https://arc.gt/4uq75,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_353-jf6112-0-0&parentSessionId=629baba7c94310.76984227&apiSessionId=629babaa074153.02040621&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",یِسُوع کی فلم سے یہ  چھوٹا  کلپ دیکھیں,https://www.bible.com/bible/187/LUK.6.27-49.UGV,بائبل میں اس کہانی کو  پڑھیں,https://www.jesusfilm.org/watch/jesus.html/balochi-western.html,"پر پوری ""یِسُوع"" فلم دیکھیں",https://www.zindagikaysawalat.com/,زندگی کے بارے میں عام سوالات کے جوابات تلاش کریں ۔,,,Afghanistan,Urdu
Chatgaya Chittagonian Common,,https://arc.gt/maklj,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_139131-jf6112-0-0&parentSessionId=629babb474a384.48606487&apiSessionId=629babb73dcf21.10482790&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2412/LUK.6.27-49.BCV,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/chatgaya-chittagonian-common.html,Watch the complete JESUS film from the beginning,https://www.everybengalistudent.com/,Answers to common Questions,,,Bangladesh,Bengali
Chatgaya Chittagonian Muslim,চাটগাঁইয়া বুলি,https://arc.gt/d15dp,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_21674-jf6112-0-0&parentSessionId=629babc14ac923.12304819&apiSessionId=629babc3d10277.09955926&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2412/LUK.6.27-49.BCV,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/chatgaya-chittagonian-muslim.html,Watch the complete JESUS film from the beginning,https://www.everybengalistudent.com/,Answers to common Questions,,,Bangladesh,Bengali
"Chin, Khumi",,https://arc.gt/y8lzu,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_1252-jf6112-0-0&parentSessionId=629babccad8429.89565197&apiSessionId=629babcf493090.40267005&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2079/LUK.6.27-49.EASY,Read the above story in the Easy English Bible,https://www.jesusfilm.org/watch/jesus.html/chin-khumi.html,Watch the complete JESUS film from the beginning,https://www.everyperson.com/,Answers to common Questions,,,Myanmar,English
"Chin, Paite",,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_5961-jf6112-0-0&parentSessionId=628be6e59f3923.39692973&apiSessionId=628be6e6c1cf94.88601230&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>","<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_5961-jf6112-0-0&parentSessionId=628be6e59f3923.39692973&apiSessionId=628be6e6c1cf94.88601230&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2079/LUK.6.27-49.EASY,Read the above story in the Easy English Bible,https://arc.gt/a7m8c,Watch the complete JESUS film from the beginning,https://www.everyperson.com/,Answers to common Questions,,,India,English
Chittagonian,চাটগাঁইয়া,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/chatgaya-chittagonian-common.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_139131-jf6112-0-0&parentSessionId=629bd418c85d04.82655428&apiSessionId=629bd41c68aee7.84635487&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2412/LUK.6.27-49.BCV,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/chatgaya-chittagonian-common.html,Watch the complete JESUS film from the beginning,https://www.everystudent.in/,Answers to common Questions,,,India,English
"Chittagonian, Musselmani",চাটগাঁইয়া বুলি,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/chatgaya-chittagonian-muslim.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_21674-jf6112-0-0&parentSessionId=629bd42cbd8fa8.11302080&apiSessionId=629bd42fb7fc54.07916780&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2412/LUK.6.27-49.BCV,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/chatgaya-chittagonian-muslim.html,Watch the complete JESUS film from the beginning,https://www.everybengalistudent.com/,Answers to common Questions,,,Bangladesh,Bengali
"Dinka, Rek",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/dinka-rek.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_24273-jf6112-0-0&parentSessionId=629bd44103c058.84983319&apiSessionId=629bd444971a90.19073269&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/242/LUK.6.27-49.DIK,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/dinka-rek.html,Watch the complete JESUS film from the beginning,https://www.everyperson.com/,Answers to common Questions,,,Sudan,English
"Dogon, Jamsay",,https://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/dogon-jamsay.html,"<div class=""arc-cont""><iframe src=""https://api.arclight.org/videoPlayerUrl?refId=1_140535-jf6112-0-0&parentSessionId=629bd4625aa829.90304197&apiSessionId=629bd465dba800.85212619&playerStyle=vanilla&player=bc.vanilla6"" allowfullscreen webkitallowfullscreen mozallowfullscreen></iframe><style>.arc-cont{position:relative;display:block;margin:10px auto;width:100%}.arc-cont:after{padding-top:59%;display:block;content:""""}.arc-cont>iframe{position:absolute;top:0;bottom:0;right:0;left:0;width:98%;height:98%;border:0}</style></div>",Discover the power of Jesus' words (3-min).,https://www.bible.com/bible/2367/LUK.6.27-49.NFC,Read the above story in the Bible,https://www.jesusfilm.org/watch/jesus.html/dogon-jamsay.html,Watch the complete JESUS film from the beginning,https://www.questions2vie.com/,Answers to common Questions,,,Mali,French taught in schools
